sample_id,latitude,longitude,grain_size,grain_size_class,beach_type,region,image_path,timestamp,beach_name
SAMPLE_0001,17.645297,83.206556,0.14,fine,intertidal,Vizag,images/sample_0001_vizag_intertidal.jpg,2025-04-12T05:56:07.537487,RK Beach
SAMPLE_0002,17.708322,83.339681,1.26,coarse,intertidal,Vizag,images/sample_0002_vizag_intertidal.jpg,2025-04-15T22:07:50.537520,Rushikonda Beach
SAMPLE_0003,17.657056,83.361239,1.63,coarse,intertidal,Vizag,images/sample_0003_vizag_intertidal.jpg,2025-04-24T07:58:32.537536,Rushikonda Beach
SAMPLE_0004,21.181834,68.142293,0.86,medium,intertidal,Gujarat,images/sample_0004_gujarat_intertidal.jpg,2025-04-26T11:35:48.537557,Somnath Beach
SAMPLE_0005,15.520483,74.014994,1.33,coarse,intertidal,Goa,images/sample_0005_goa_intertidal.jpg,2025-09-16T14:36:40.537576,Palolem Beach
SAMPLE_0006,12.865119,80.167683,1.54,coarse,dune,Chennai,images/sample_0006_chennai_dune.jpg,2025-07-03T12:21:10.537596,Covelong Beach
SAMPLE_0007,17.662337,83.212546,1.16,coarse,berm,Vizag,images/sample_0007_vizag_berm.jpg,2025-09-19T16:00:34.537616,RK Beach
SAMPLE_0008,21.530046,71.81017,0.59,medium,dune,Gujarat,images/sample_0008_gujarat_dune.jpg,2025-09-02T22:52:42.537642,Chorwad Beach
SAMPLE_0009,20.224434,85.673937,1.9,coarse,dune,Odisha,images/sample_0009_odisha_dune.jpg,2025-04-25T18:49:47.537667,Chandrabhaga Beach
SAMPLE_0010,9.085734,75.400697,0.49,fine,intertidal,Kerala,images/sample_0010_kerala_intertidal.jpg,2025-08-09T17:51:56.537686,Marari Beach
SAMPLE_0011,17.720386,83.303126,0.53,medium,intertidal,Vizag,images/sample_0011_vizag_intertidal.jpg,2025-06-20T05:06:56.537731,Rushikonda Beach
SAMPLE_0012,15.492194,74.177083,0.71,medium,dune,Goa,images/sample_0012_goa_dune.jpg,2025-07-16T22:44:28.537750,Baga Beach
SAMPLE_0013,17.601639,83.298091,1.2,coarse,berm,Vizag,images/sample_0013_vizag_berm.jpg,2025-05-03T04:40:07.537765,Yarada Beach
SAMPLE_0014,15.460756,74.022905,1.95,coarse,intertidal,Goa,images/sample_0014_goa_intertidal.jpg,2025-08-27T06:58:24.537780,Baga Beach
SAMPLE_0015,12.552191,93.833147,0.87,medium,berm,Andaman,images/sample_0015_andaman_berm.jpg,2025-08-14T06:48:28.537795,Kalapathar Beach
